Name,Club,Start Date,From,End Date,Until,adjustedStartDate
Stuart Gray,Aston Villa,24/01/2002 00:00,24-Jan-02,05/02/2002 00:00,05-Feb-02,24/01/2002 00:00
Billy McEwan,Derby,14/01/2002 00:00,14-Jan-02,30/01/2002 00:00,30-Jan-02,14/01/2002 00:00
John Gregory,Derby,30/01/2002 00:00,30-Jan-02,21/03/2003 00:00,21-Mar-03,30/01/2002 00:00
Sam Allardyce,Bolton,19/10/1999 00:00,19-Oct-99,29/04/2007 00:00,29-Apr-07,01/01/2000
Steve McClaren,Middlesbrough,12/06/2001 00:00,12-Jun-01,11/05/2006 00:00,11-May-06,12/06/2001 00:00
Graeme Souness,Blackburn,14/03/2000 00:00,14-Mar-00,06/09/2004 00:00,06-Sep-04,01/01/2000
Gordon Strachan,Southampton,22/10/2001 00:00,22-Oct-01,13/02/2004 00:00,13-Feb-04,22/10/2001 00:00
Glenn Roeder,West Ham,09/05/2001 00:00,09-May-01,24/04/2003 00:00,24-Apr-03,09/05/2001 00:00
Glenn Hoddle,Tottenham,02/04/2001 00:00,02-Apr-01,21/09/2003 00:00,21-Sep-03,02/04/2001 00:00
Jean Tigana,Fulham,01/07/2000 00:00,01-Jul-00,17/04/2003 00:00,17-Apr-03,01/01/2000
Colin Todd,Derby,08/10/2001 00:00,08-Oct-01,14/01/2002 00:00,14-Jan-02,08/10/2001 00:00
Dave Bassett,Leicester,10/10/2001 00:00,10-Oct-01,06/04/2002 00:00,06-Apr-02,10/10/2001 00:00
Phil Thompson,Liverpool,14/10/2001 00:00,14-Oct-01,16/03/2002 00:00,16-Mar-02,14/10/2001 00:00
David Pleat,Tottenham,16/03/2001 00:00,16-Mar-01,02/04/2001 00:00,02-Apr-01,16/03/2001 00:00
Stuart Gray,Southampton,30/03/2001 00:00,30-Mar-01,21/10/2001 00:00,21-Oct-01,30/03/2001 00:00
Claudio Ranieri,Chelsea,18/09/2000 00:00,18-Sep-00,31/05/2004 00:00,31-May-04,01/01/2000
Joe Royle,Man City,18/02/1998 00:00,18-Feb-98,21/05/2001 00:00,21-May-01,01/01/2000
Peter Taylor,Leicester,12/06/2000 00:00,12-Jun-00,30/09/2001 00:00,30-Sep-01,01/01/2000
Terry Venables,Middlesbrough,06/12/2000 00:00,06-Dec-00,12/06/2001 00:00,12-Jun-01,01/01/2000
Glenn Hoddle,Southampton,28/01/2000 00:00,28-Jan-00,28/03/2001 00:00,28-Mar-01,01/01/2000
Graham Rix,Chelsea,13/09/2000 00:00,13-Sep-00,17/09/2000 00:00,17-Sep-00,01/01/2000
Ray Wilkins,Chelsea,13/09/2000 00:00,13-Sep-00,17/09/2000 00:00,17-Sep-00,01/01/2000
Bobby Robson,Newcastle,02/09/1999 00:00,02-Sep-99,30/08/2004 00:00,30-Aug-04,01/01/2000
Graham Taylor,Watford,21/02/1996 00:00,21-Feb-96,01/06/2001 00:00,01-Jun-01,01/01/2000
John Gregory,Aston Villa,25/02/1998 00:00,25-Feb-98,24/01/2002 00:00,24-Jan-02,01/01/2000
Walter Smith,Everton,01/07/1998 00:00,01-Jul-98,13/03/2002 00:00,13-Mar-02,01/01/2000
David O'Leary,Leeds,01/10/1998 00:00,01-Oct-98,27/06/2002 00:00,27-Jun-02,01/01/2000
Gérard Houllier,Liverpool,01/07/1998 00:00,01-Jul-98,14/10/2001 00:00,14-Oct-01,01/01/2000
George Graham,Tottenham,05/10/1998 00:00,05-Oct-98,16/03/2001 00:00,16-Mar-01,01/01/2000
Gianluca Vialli,Chelsea,12/02/1998 00:00,12-Feb-98,12/09/2000 00:00,12-Sep-00,01/01/2000
Alan Curbishley,Charlton,24/07/1991 00:00,24-Jul-91,08/05/2006 00:00,08-May-06,01/01/2000
Dave Jones,Southampton,23/06/1997 00:00,23-Jun-97,27/01/2000 00:00,27-Jan-00,01/01/2000
Arsène Wenger,Arsenal,01/10/1996 00:00,01-Oct-96,13/05/2018 00:00,13-May-18,01/01/2000
Jim Smith,Derby,15/06/1995 00:00,15-Jun-95,07/10/2001 00:00,07-Oct-01,01/01/2000
Martin O'Neill,Leicester,21/12/1995 00:00,21-Dec-95,01/06/2000 00:00,01-Jun-00,01/01/2000
Peter Reid,Sunderland,29/03/1995 00:00,29-Mar-95,07/10/2002 00:00,07-Oct-02,01/01/2000
Harry Redknapp,West Ham,10/08/1994 00:00,10-Aug-94,09/05/2001 00:00,09-May-01,01/01/2000
Bryan Robson,Middlesbrough,31/05/1994 00:00,31-May-94,06/12/2000 00:00,06-Dec-00,01/01/2000
Alex Ferguson,Man United,06/11/1986 00:00,06-Nov-86,01/06/2013 00:00,01-Jun-13,01/01/2000
